1701634030.2276142,26.0,-31.0,-10.0,10.0,6.0,10.0,22.0,-1.0
1701634030.2276142,-10.0,21.0,-62.0,-12.0,-1.0,-1.0,1.0,-62.0
1701634030.2476137,-6.0,1.0,-2.0,-8.0,-10.0,-46.0,-83.0,9.0
1701634030.2476137,-55.0,24.0,6.0,18.0,8.0,23.0,49.0,-61.0
1701634030.2476137,2.0,9.0,33.0,2.0,-6.0,-7.0,-1.0,6.0
1701634030.2476137,-29.0,1.0,17.0,4.0,6.0,19.0,28.0,68.0
1701634030.2676144,-34.0,-22.0,-18.0,-15.0,-4.0,-15.0,-12.0,-97.0
1701634030.2676144,31.0,28.0,6.0,5.0,-2.0,0.0,2.0,15.0
1701634030.2676144,-22.0,-30.0,-9.0,-10.0,-6.0,-5.0,9.0,-14.0
1701634030.2676144,-1.0,-4.0,-20.0,-6.0,0.0,-8.0,-21.0,-15.0
1701634030.2776387,36.0,45.0,20.0,16.0,14.0,18.0,4.0,-20.0
1701634030.2776387,39.0,12.0,13.0,13.0,17.0,20.0,21.0,19.0
1701634030.2876544,1.0,-5.0,1.0,-4.0,-2.0,2.0,-22.0,32.0
1701634030.2876544,41.0,-6.0,-11.0,-7.0,-10.0,2.0,34.0,1.0
1701634030.3077128,40.0,6.0,-15.0,-5.0,-3.0,-3.0,27.0,-29.0
1701634030.3077128,19.0,3.0,7.0,-2.0,-5.0,-2.0,-15.0,41.0
1701634030.3077128,-25.0,9.0,3.0,3.0,9.0,-18.0,-39.0,-25.0
1701634030.3077128,67.0,-5.0,4.0,7.0,-6.0,32.0,54.0,50.0
1701634030.3376133,-6.0,5.0,-1.0,-6.0,2.0,8.0,-44.0,-92.0
1701634030.3376133,34.0,2.0,-2.0,5.0,-3.0,-17.0,-59.0,50.0
1701634030.3376133,28.0,2.0,-5.0,-3.0,5.0,19.0,-2.0,-11.0
1701634030.3376133,-24.0,15.0,-8.0,-11.0,-11.0,-22.0,19.0,25.0
1701634030.3478456,-32.0,-5.0,-2.0,-6.0,-12.0,-31.0,-48.0,-33.0
1701634030.3478456,-64.0,-8.0,-4.0,-7.0,-20.0,9.0,37.0,16.0
1701634030.3478456,33.0,25.0,13.0,14.0,27.0,16.0,-10.0,63.0
1701634030.3478456,-66.0,-5.0,3.0,-4.0,-9.0,-19.0,-92.0,-97.0
1701634030.3678932,84.0,15.0,10.0,7.0,15.0,80.0,102.0,127.0
1701634030.3678932,93.0,-3.0,0.0,-3.0,-5.0,-48.0,-95.0,-72.0
1701634030.3678932,17.0,-10.0,-2.0,-2.0,-6.0,10.0,79.0,64.0
1701634030.3678932,-13.0,3.0,-10.0,-9.0,-7.0,-12.0,-25.0,-30.0
1701634030.3979175,11.0,2.0,6.0,5.0,7.0,-12.0,-28.0,-9.0
1701634030.3979175,46.0,14.0,-1.0,5.0,5.0,7.0,31.0,20.0
1701634030.3979175,26.0,-8.0,-1.0,-6.0,-9.0,13.0,23.0,-47.0
1701634030.3979175,-44.0,-5.0,-8.0,-7.0,-6.0,-38.0,-67.0,27.0
1701634030.4079227,31.0,4.0,6.0,2.0,1.0,-6.0,-14.0,-66.0
1701634030.4079227,-54.0,2.0,0.0,-1.0,2.0,12.0,10.0,-39.0
1701634030.4079227,-11.0,-8.0,-13.0,-11.0,-8.0,-9.0,-42.0,-71.0
1701634030.4079227,0.0,-2.0,-6.0,-2.0,-5.0,-6.0,22.0,79.0
